"MEAN_MOTION","ECCENTRICITY","INCLINATION","RA_OF_ASC_NODE","ARG_OF_PERICENTER","MEAN_ANOMALY","SEMIMAJOR_AXIS","PERIOD","APOAPSIS","PERIAPSIS","OBJECT_TYPE","RCS_SIZE","OBJECT_AGE","CENT_FOCUS_DIST"
14.22345081,0.0010658,98.6818,310.9621,48.5264,311.6827,7195.57,101.241,825.104,809.766,"PAYLOAD","SMALL",21,7.669038506
14.22351449,0.0009789,98.6866,309.5701,24.7061,335.4584,7195.548,101.241,824.457,810.37,"PAYLOAD","SMALL",21,7.0437219372
14.22281083,0.0009801,98.6877,309.5415,25.5717,334.5944,7195.786,101.246,824.703,810.598,"PAYLOAD","SMALL",21,7.0525898586
14.21917475,0.0010691,98.687,311.5501,61.0293,299.1955,7197.012,101.272,826.572,811.183,"PAYLOAD","SMALL",21,7.6943255292
2.66348566,0.6679241,26.7793,119.5877,230.0745,27.0936,21983.741,540.645,30289.076,922.136,"DEBRIS","SMALL",59,14683.4704220581
14.42590735,0.002237,144.5862,70.8381,312.307,47.5734,7128.088,99.82,765.899,734.008,"DEBRIS","SMALL",58,15.945532856
13.83532215,0.0044359,82.9341,293.6893,134.4074,292.4598,7329.522,104.081,983.9,918.874,"DEBRIS","SMALL",48,32.5130266398
13.91040963,0.0060446,65.0448,340.3334,251.7226,107.7255,7303.122,103.52,969.132,880.843,"DEBRIS","SMALL",40,44.1444512412
13.91460729,0.0057215,65.0482,316.1207,239.2633,120.2789,7301.653,103.488,965.295,881.742,"DEBRIS","SMALL",40,41.7764076395
13.90642054,0.0060396,65.051,7.7393,243.7141,115.771,7304.519,103.549,970.5,882.267,"DEBRIS","SMALL",40,44.1163729524
4.82508143,0.5277892,65.2796,84.1904,78.8863,333.756,14793.312,298.441,16222.927,607.427,"DEBRIS","SMALL",37,7807.7503058304
9.94410337,0.2483995,65.0465,36.4797,197.4086,152.3996,9134.64,144.809,5025.545,487.465,"DEBRIS","SMALL",36,2269.04000868
